artist,album,track,uri
River Tiber,Peace,Here or There,spotify:track:7wojGpJ1u6NBaVepY0z4MQ
Flavien Berger,Contre-Temps,Contre-Temps,spotify:track:25mOVYPa5OPcG2ZqIqwAXc
Calvin Harris,How Deep Is Your Love,How Deep Is Your Love,spotify:track:22mek4IiqubGD9ctzxc69s
PinkPantheress,to hell with it,Break It Off - Bonus,spotify:track:78ul3D77noQsYjSwvwiPU1
TOVA,hues,hues,spotify:track:3BInpKG8T284MsOkQAw0MY
Thee Sacred Souls,Live For You,Live For You,spotify:track:2XekPGzt01OOtaRY9oAV1b
Kanii,attachment (she wanna love),attachment (she wanna love),spotify:track:6pNa6wVEk5RdxRgGhab77S
Forest Claudette,Hologram,Hologram,spotify:track:0F2zGnaOrsVCOD900FebJk
Kassa Overall,I THINK I'M GOOD,"I Know You See Me (feat. J Hoard, Melanie Charles)",spotify:track:0VCOp27EwVqiTo9rGoQaw9
Charli xcx,BRAT,Von dutch,spotify:track:3Y1EvIgEVw51XtgNEgpz5c
Electric Guest,Mondo,Waves,spotify:track:12GEv3kB19M52HvybQ6maU
Greenscreen,Your Text Here - EP,Lemonade,spotify:track:5Nr0MjWKmsA6Vw77bKpxDy
Derric Gobourne Jr.,Until: Summer Songs Inspired by a Hummingbird,Until (Intro),spotify:track:7LTnNc9EEMWUpbDR95tdc1
Adi Oasis,Adi Oasis,Whisper My Name,spotify:track:31RMjIWGSWCuj6S3CaaBu8
Daniel Caesar,Freudian,Neu Roses (Transgressor's Song),spotify:track:3SPfACAarZmNEF45erapCY
DVBBS,GOMF (feat. BRIDGE),GOMF (feat. BRIDGE),spotify:track:4Jr5mz5SdCwCWuVhCxJoTo
WAYNE SNOW,Figurine,Nina,spotify:track:4msR3kzMPSfvHG1ZIUGOMP
Ego Ella May,Higher Self,Higher Self,spotify:track:2KcaOSZlR03H41Nhmg2QyH
NAYANA IZ,SMOKE & FLY,GROWING PAINS,spotify:track:1ABIJx3A0TRbThaeK4wX84
Ne-Yo,In My Own Words,So Sick,spotify:track:6brl7bwOHmGFkNw3MBqssT
Gabriel Garzón-Montano,Jardín,Crawl,spotify:track:2GFjfzXWeV8iLCnRCKJxaO
Bas,Spilled Milk 1,Amnesia (with Ari Lennox & Kiddominant),spotify:track:7LMhHrfftRJVsmNpMnZew3
Joy Crookes,Since I Left You,Since I Left You - Demo,spotify:track:1W5ZEYctMAWShvwKEPNbbu
Clairmont The Second,intres-ting,intres-ting,spotify:track:4Zsk0wRmvyY50mr1RmBIS8
KAYTRANADA,99.9%,BUS RIDE,spotify:track:1ZTDfHyxJJVBSkFA9h6GRs
River Tiber,Illusions,Gravity,spotify:track:2HYkeK48Ys2UzYt9kGCwiC
Diego Raposo,WORK THAT $HIT (feat. mediopicky),WORK THAT $HIT (feat. mediopicky),spotify:track:3fHFz7ZqJeKecNkAh1clWv
Niko B,dog eat dog food world,trespass coat,spotify:track:1Eh9UAAcmnp1FkHVKd5YiZ
Miley Cyrus,Bangerz (Deluxe Version),On My Own,spotify:track:68zC6NEny9EG3OuE6npJcr
Macabre Plaza,Out With the Old in With the Taboo,Abandoned Plaza,spotify:track:49Q4EjrGxgllOt6jXJPfeI
Tom Misch,Quarantine Sessions,Gypsy Woman - Quarantine Sessions,spotify:track:2RmoWGJh7j7zkZHPTNCFkq
Yellow Days,Inner Peace,Inner Peace,spotify:track:6ecx3EbK7KXlWUk2RCjt5t
Jamiroquai,High Times: Singles 1992-2006,Virtual Insanity - Remastered 2006,spotify:track:47W6YR93MPCGLEUReLMyDm
Only Fire,Double Penetration,Asmr,spotify:track:3jPaqo45RVrafP6NnWMBkQ
Doechii,ROCKET,ROCKET,spotify:track:7wgZCec9TpT6OPH8gKK0fG
Daft Punk,Discovery,Digital Love,spotify:track:2VEZx7NWsZ1D0eJ4uv5Fym
HMLT,Oyster,Oyster,spotify:track:5dVfBpvcz0LYoY6KFyitCk
Vulfpeck,The Beautiful Game,Dean Town,spotify:track:1oOD1pV43cV9sHg97aBdLs
Drake,Pop Style,Pop Style,spotify:track:23NWj2izXAJ4yL6Nah73wf
Kendrick Lamar,Mr. Morale & The Big Steppers,Rich Spirit,spotify:track:6kYGOFNUMxpab09L5Ukoke
Sports,Naked All the Time,You Are the Right One,spotify:track:5fLfzMQ6T583mnUke8622M
Kaliii,Area Codes,Area Codes,spotify:track:7sliFe6W30tPBPh6dvZsIH
Rochelle Jordan,Play With The Changes,All Along,spotify:track:4HToFyAW5EcblMoydbCFCF
Kali Uchis,"After The Storm (feat. Tyler, The Creator & Bootsy Collins)","After The Storm (feat. Tyler, The Creator & Bootsy Collins)",spotify:track:1gmarFWgSwb4SWlmqDjWka
Baird,Easy v2,Easy v2,spotify:track:1ZNOwjcEAqka5feaa5dEko
The Garden,haha,Egg,spotify:track:4Vie7AYSqfGHEP2uBh0ua5
Sunni Colón,Satin Psicodelic,Mornin Dew,spotify:track:6bxtai04eVsvV7IZGqOXMy
Zaniah,Coffee Bean,Coffee Bean,spotify:track:5vELlkkfUGP2OJ32wqrMKa
¿Téo?,In the Essence,In the Essence,spotify:track:0MhxLAfnXrgKqL9V7VAaj4
Future,Life Is Good (feat. Drake),Life Is Good (feat. Drake),spotify:track:5yY9lUy8nbvjM1Uyo1Uqoc
Beyoncé,RENAISSANCE,AMERICA HAS A PROBLEM,spotify:track:2XMAWynSTIst5KmLSv0Npf
10cc,10cc,The Hospital Song,spotify:track:2TpwPCmHd1TzoFe3hVgteJ
Guilherme Coutinho,Guilherme Coutinho E O Grupo Stalo,Atalaia,spotify:track:6Uv34qJvmca0rf0ao7JPk1
Wet,The Letter Blue,The Letter Blue - Branchez Remix,spotify:track:6Ybtd0fwLZnOqU4Kd8etj9
River Tiber,Taurus,Taurus,spotify:track:14wQpAIGrStYHrS9iEsdcJ
Beyoncé,RENAISSANCE,ALIEN SUPERSTAR,spotify:track:1Hohk6AufHZOrrhMXZppax
Ashnikko,Daisy,Daisy,spotify:track:0AUvWawuP0ibk4SQ3sIZjk
Gwen Bunn,2MANYTHINGS: THE REMIXES,2MANYTHINGS (OSSAMMOT REMIX),spotify:track:0wOsB4123gesYUDTdORBca
Teezo Touchdown,How Do You Sleep At Night?,Sweet (feat. Fousheé),spotify:track:2X3noddA1Gi8OmJVRP4eYC
Joe Hertz,Current Blues,Rain in Cuba,spotify:track:0TbcmRxaqpGXUEnPqi0DWb
"Tyler, The Creator",Flower Boy,Foreword (feat. Rex Orange County),spotify:track:33i3xxHB4YSYGYbtJrwwO8
Button,Rumble Pack,Let Go,spotify:track:3SFkwWuDspDHcqE7cRCbHO
KAROL G,PROVENZA,PROVENZA,spotify:track:7dSZ6zGTQx66c2GF91xCrb
Matty Wood$,I'll Be Fine,Kelso,spotify:track:5Irqpm8jMZwG0WbJ78Zt63
Kingdom,Tears XL,Down 4 Whatever,spotify:track:66LnrYCDpGpdp70sZS5ccz
Jitwam,Honeycomb,busstop,spotify:track:05rbkyKDujt59pu4tcY5tc
Hiatus Kaiyote,Choose Your Weapon,Molasses,spotify:track:2m6knc5tEfzVYwGY6GlCPm
Narissha,Oh No ! (Leng),Oh No ! (Leng),spotify:track:23WZVelKvvyVe4kbjiPFub
ATARASHII GAKKO!,Tokyo Calling,Tokyo Calling,spotify:track:2WNjQidYVQO0oFFlTuF8fo
Omar Apollo,Dos Uno Nueve (219),Dos Uno Nueve (219),spotify:track:6BJa9yMDEybRoz41oTjPjC
Drake,Thank Me Later,Fancy,spotify:track:3fpTMuD1u3gJlVI4FadVHs
Nicki Minaj,Yikes,Yikes,spotify:track:75dLEqanQTupF3dtP9exT5
Doja Cat,Amala (Deluxe Version),Juicy,spotify:track:4cTm3Ev9bUvy4ChJjB1nhl
Adele,25,All I Ask,spotify:track:1wMALZpuqAy7amQsFBWQ8m
Still Woozy,Cooks,Cooks,spotify:track:2T64m94VBrsEISkAYq6Cnq
Elohim,Elohim,Hallucinating,spotify:track:24Yy3FTpcOkcAbpzRKIFjw
The Alchemist,The Genuine Articulate,Everybody's Favorite Uncle,spotify:track:3fyCdayhSHS3FP2boY8ENT
DESTIN CONRAD,SUBMISSIVE2,IT'S ONLY YOU,spotify:track:1LWfSjRW9AS4mWnO67bdYp
Hoody,Amazing,Amazing,spotify:track:5u05Rmpk6tafcD7226IxvV
Essosa,Tell Nobody,Tell Nobody,spotify:track:2tVDJV4m7XhHR1JO4DQQKR
Kartell,All In,All In,spotify:track:4Ks8tQBpkf3mStOv6KDPDc
UMI,say im ur luv,say im ur luv - Jumbo Sounds Remix,spotify:track:2vRe7YtE1tpVarV1t9fqcu
Logic,Bobby Tarantino,Super Mario World,spotify:track:1py4qzrEEkOvU8uTHYLuOW
Beirut,Elephant Gun,Elephant Gun,spotify:track:52Nm0n6chJlGJJqhiZ6oMz
Aminé,ONEPOINTFIVE,HICCUP (feat. Gunna),spotify:track:4TaGhbUWsmOWrQt8w3sA9x
Mild Minds,MOOD,FORMATIONS,spotify:track:1DRLIUG8HFTBfJOFYaByZn
Dana and Alden,"Coyote, You're My Star",Popular Front,spotify:track:0nGOL5kcayJKi6Ohj1HD6Q
Frank Ocean,Blonde,Ivy,spotify:track:2ZWlPOoWh0626oTaHrnl2a
Florist,The Birds Outside Sang,Thank You,spotify:track:3JlneXCFSCQZFPhygeYf81
PinkPantheress,to hell with it,Pain,spotify:track:4S4QJfBGGrC8jRIjJHf1Ka
Jean Deaux,Watch This!,Recipe!,spotify:track:2M7pmbU5ye6I6LV2pVXmw7
ROLE MODEL,not a fan,not a fan,spotify:track:1sUHNPEEcAEoo3h8RB4aqK
Makoto Matsushita,FIRST LIGHT (2018 Remaster),This Is All I Have For You - 2018 Remaster,spotify:track:2JEgJc3qlzTr96IBqfeulB
Tom Misch,Out to Sea,So Close,spotify:track:1OWU56gDjT9hDybpIMeGXH
Kiah Victoria,Memo EP,Ornament,spotify:track:07LUoiFu4KMD2G9yhRJ91s
berlioz,jazz is for ordinary people,jazz is for ordinary people,spotify:track:12BaQt9aYdTlEtKreqB5V4
RALPH TV,Making Movements,Making Movements - Baltra Remix,spotify:track:6FalTkmo0IU0Vy7XbKjqp8
Drake,Take Care,Headlines,spotify:track:7kfTqGMzIHFWeBeOJALzRf
Nico Baran,BACK TO THE START,BACK TO THE START,spotify:track:2yqmQ6aHg9BqumGgSMlEzs
Lance Skiiiwalker,In the World,In the World,spotify:track:0c8BI0l9Ar2p5OhMytfpWz
D'Angelo,Voodoo,Untitled (How Does It Feel),spotify:track:4oPNN7syJYSjzDhRerF966
Grimm Lynn,Do 2 Me,Do 2 Me,spotify:track:7mRYc7MBzPiQpW1wlVdz4w
James Blake,Assume Form,Barefoot In The Park,spotify:track:1F7ZElvJAvWKQ7UaPXg9cF
Aretha Franklin,"Young, Gifted and Black",Day Dreaming,spotify:track:7L4G39PVgMfaeHRyi1ML7y
Gabriel Garzón-Montano,Someone,Someone,spotify:track:2E8xVnA1LW1oX4hg9euHym
Daniel Caesar,Do You Like Me?,Do You Like Me?,spotify:track:6q4yusLwjDYEcF6jXHdt7J
Jordan Rakei,Celebrate,Celebrate,spotify:track:0wDTskEQUKP63CjogXK6yc
Drunken Masters,MIND,MIND,spotify:track:4WudBrgi8GRQMnPKiIM8yM
Twelve'len,Lady Draco,Lady Draco,spotify:track:0bc3I3fYeyHj6dyEaaV2ga
Blood Orange,Negro Swan,Hope,spotify:track:2QLNDKL7hZyh2OZ8UL9WrV
"Tyler, The Creator",Wolf,Jamba (feat. Hodgy),spotify:track:3Z5pXxCb0O6L53vejFHhqQ
JPEGMAFIA,LP!,TRUST!,spotify:track:1iRC0WHs9uhAi0EYeJJB3L
Childish Gambino,"""Awaken, My Love!""",Baby Boy,spotify:track:3X7xCWOmb7UdYJDGP4oNIx
alt-J,This Is All Yours,Left Hand Free,spotify:track:4iEOVEULZRvmzYSZY2ViKN
kurffew,lazy,lazy,spotify:track:4qoc5UfL8Kx8zNNT8pXXug
Young Thug,Am I My Brothers Keepers,My Baby,spotify:track:71CMdioDtGTMXF8XYhsUHN
Little Dragon,"New Me, Same Us",Another Lover,spotify:track:5duZe3kHUqNENd97WYqmYL
Osquello,Good Morning Simulation,Simulated Void,spotify:track:4zlzXChPiU3JGDRYcZ7fIN
HOMESHAKE,Helium,(Secret Track),spotify:track:6WgXtpqS0DHmiN7Dkkyb1N
J. Cole,4 Your Eyez Only,Change,spotify:track:3pjUyVbFmM96tYhSaKJwTt
Angela Muñoz,Introspection,Can I Get Your Name,spotify:track:1wET3dkqtfjxz3RJGNa9HK
Dua Lipa,Dua Lipa,New Rules,spotify:track:2ekn2ttSfGqwhhate0LSR0
Victoria Monét,We Might Even Be Falling In Love (Duet),We Might Even Be Falling In Love (Duet),spotify:track:0wOtc2nY3NOohp4xSwOyTN
ELIZA,A Sky Without Stars,Abandon the Rule,spotify:track:5bbgrpn8N8oMVy6aP9XLDj
Victoria Monét,Coastin’,Coastin’,spotify:track:1IjeGPU5hqHlJpm00zObN7
070 Shake,Modus Vivendi,Microdosing,spotify:track:24yb4Wz0iBvBNOaIW2dVOD
KAYTRAMINÉ,KAYTRAMINÉ,K&A,spotify:track:4FyH1gsB85ivmvFtkvxgir
